http://lomrus.ru/tseny-na-metallolom;#print-content;table[1]/tbody/tr[2]/td[3]/p[5]/span;#node-58;article/div/div/h2;1
http://rosmet-lom.ru/;.tab1 tbody tr[2];td[3];#ceny;;1
http://www.startmetall.ru/price/;#post-3;div/table[2]/tbody/tr[56]/td[2];#post-3;div/table[1]/tbody/tr/td[2]/em/span;1000
http://planetaloma.ru/tseny;#container_wrap;div/div/div[3]/table[1]/tbody/tr[2]/td[3];#container_wrap;div/div/div[3]/h2[1]/span;1
http://kupim-metall.ru/tseny-0;#node-79;article/div/div/table[1]/tbody/tr[2]/td[2]/p[10]/span/strong;#node-79;article/div/div/h2[1];1
http://metalloplus.ru/tsena/;#motopress-main;div[3]/div/div/div/table[2]/tbody/tr[2]/td[3];;;1
http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/tec-21/;#mainContent;div/table[2]/tbody/tr[1]/td[4];;;1
http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/proizvodstvennaya_baza_gdzerzhinskij/;#mainContent;div/table[2]/tbody/tr[1]/td[4];;;1
http://orisprom.ru/purchase/ceny_na_lom_i_othody_chernyh_metallov/tec-26/;#mainContent;div/table[2]/tbody/tr[1]/td[4];;;1
http://www.reallom.ru/price/price-chermet;#content;div[1]/div/div[2]/div[2]/table/tbody/tr[4]/td[3];;;1
http://sdaylom.ru/priem-loma-v-moskve;#content;div[2]/div[1]/div[1]/div/table[1]/tbody/tr[2]/td[3];;;1
http://prioritetmet.ru/ceni-na-metall;#content_inner;table[3]/tbody/tr[2]/td[4]/p/span;;;1
http://old-metall.ru/czenyi;;html/body/div/div[4]/table[1]/tbody/tr[2]/td[3];;;0,01
http://pmk-lom.ru/purchase/prices/;#column-right;div/div[2]/table/tbody/tr[2]/td[3]/p;;;1
http://www.lom-msk.ru/cherniy/;#content_bg;div[1]/div[2]/div/table/tbody/tr[2]/td[4];;;1
http://lompriem.ru/vse-nashi-tseny.html;;html/body/div[2]/div[4]/div[2]/div/table/tbody/tr[47]/td[3]/span;;;1
http://foramet.ru/chernyj-metall;.MsoTable15Plain2;tr[2]/td[2]/p/span;;;1
http://www.lom-trade.ru/chernyj-metall.shtml;#node-48;div/table/tbody/tr[1]/td[2];;;1000
http://lomrf.ru/price.htm;#content-wrap;div[2]/table[1]/tbody/tr[1]/td[2];;;1
http://metal-scrap.ru/chernyy-metallolom/lom-stali;.item-214.active;;;;1000
http://pzka.ru/punkt-priema-loma-chernykh-metallov/;#post-2;div[3]/div[2]/table/tbody/tr[4]/td[5];;;0,01
http://www.scrapmetall.ru/price.html;;html/body/main/div[2]/div[1]/table/tbody/tr[2]/td[4];;;1
http://metall77.ru/ceny/;.tb_price;tr[3]/td[3];;;1
http://www.priem-metalla.ru/pages/3/;#content-wraper;table[3]/tbody/tr[59]/td[2]/span;;;1000
http://www.lom-mira.ru/?yclid=3205156684406459317#!blank/ngcw6;#comp-ihwh6uzs;h6[1]/span/span/span;;;1
http://kuplu-metallolom.ru/pokupka-metalloloma-cena.html;#art-main;div/div/div/div/div[2]/div[2]/div/div/article[9]/div/div/center/table/tbody/tr[2]/td[2];;;1
http://metallokonstruction.ru/ceni-na-metallolom.html;#dle-content;table/tbody/tr[2]/td[4]/span;;;1
http://www.lombe.ru/tsena-metallolom/;;html/body/div[1]/div/div/div/div[2]/div[2]/div/div[1]/table/tbody/tr[2]/td[2]/pre/span/span;;;1
http://re-lom.ru/ceny-na-lom-metallov.html;#dle-content;div[2]/table[1]/tbody/tr[2]/td[4];;;1
http://sdaymetall.ru/chernyj-metall.html;#s-black-price;div/div/div[2]/table/tbody/tr[1]/td[2]/p[2];;;1
http://www.megaferum.ru/;#dle-content;div/table[1]/tr[3]/td[4];#dle-content;div/table[1]/tr[1];1
http://glavchermet.ru/price.html?id=264;#component;div/div[1]/table/tbody/tr[3]/td[4];;;1
http://pro-lom.ru/kinds-scrap/?yclid=3206104835139308661;;html/body/div[1]/div[1]/div/div[1]/section/table/tbody/tr[2]/td[4];;;1
http://www.baltexcom.net/price.html;#column-center;div[2]/table/tbody/tr[4]/td[1]/table/tbody/tr[9]/td[3];;;1
http://uvchm.ru/prices/p-479/;#price_list;table/tbody/tr[8]/td[2];;;1
http://p-lom.ru/price_black.php;;html/body/div[3]/div/div/ul[1]/li[3]/div[1]/p[2]/text();;;1
http://capital-mett.com/cena-lom-chernyh-metallov;;html/body/div[3]/div/div[2]/div/div/div[1]/div[2]/table/tbody/tr[2]/td[2]/strong;;;1
http://vtormetlom.ctlx.ru/;#index_page_products_block;div[1]/table/tr[1]/td[1]/div[1]/div[2]/span;;;0,01
